N	CPU	SCAN	FULL
330000	0.001514	0.000258	0.001446
331000	0.001314	0.000259	0.001522
332000	0.001616	0.000259	0.001115
333000	0.001401	0.000260	0.001532
334000	0.001460	0.000259	0.001539
335000	0.001399	0.000265	0.001525
336000	0.001644	0.000261	0.001511
337000	0.001658	0.000263	0.001129
338000	0.002024	0.000257	0.001760
339000	0.001652	0.000263	0.001857
340000	0.001356	0.000279	0.001552
341000	0.001751	0.000261	0.001549
342000	0.001706	0.000264	0.001126
343000	0.001694	0.000262	0.001511
344000	0.001671	0.000262	0.001164
345000	0.001823	0.000265	0.001190
346000	0.001919	0.000234	0.001762
347000	0.001688	0.000264	0.001204
348000	0.001938	0.000263	0.001155
349000	0.001708	0.000279	0.001436
350000	0.002079	0.000257	0.001548
351000	0.002201	0.000243	0.001729
352000	0.001910	0.000283	0.001567
353000	0.002000	0.000524	0.001746
354000	0.001770	0.000270	0.001564
355000	0.001512	0.000275	0.001623
356000	0.001840	0.000286	0.001606
357000	0.001812	0.000270	0.001185
358000	0.001847	0.000270	0.001264
359000	0.001462	0.000272	0.001230
360000	0.001458	0.000304	0.001817
361000	0.002057	0.000343	0.001938
362000	0.001762	0.000273	0.001213
363000	0.001991	0.000320	0.001265
364000	0.001560	0.000286	0.001628
365000	0.001814	0.000270	0.001268
366000	0.001952	0.000277	0.001713
367000	0.001950	0.000274	0.001598
368000	0.001955	0.000275	0.001844
369000	0.001934	0.000282	0.001661
370000	0.001955	0.000272	0.001272
371000	0.001668	0.000275	0.001284
372000	0.001835	0.000273	0.001410
373000	0.001575	0.000274	0.001278
374000	0.001573	0.000280	0.001671
375000	0.002176	0.000277	0.001605
376000	0.001844	0.000302	0.001818
377000	0.001844	0.000276	0.001636
378000	0.001599	0.000280	0.001340
379000	0.001953	0.000281	0.001640
380000	0.001586	0.000276	0.001286
381000	0.001616	0.000280	0.001361
382000	0.001864	0.000283	0.001665
383000	0.001889	0.000283	0.001779
384000	0.001622	0.000301	0.001322
385000	0.001906	0.000299	0.001725
386000	0.002079	0.000282	0.001721
387000	0.001939	0.000276	0.001877
388000	0.001610	0.000299	0.001411
389000	0.001601	0.000286	0.001355
390000	0.001653	0.000319	0.001584
391000	0.001745	0.000287	0.001358
392000	0.002000	0.000304	0.001748
393000	0.002011	0.000290	0.001721
394000	0.002187	0.000318	0.001909
395000	0.002335	0.000281	0.001765
396000	0.002046	0.000357	0.001867
397000	0.001953	0.000275	0.001711
398000	0.001953	0.000277	0.001475
